"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"01:52:07.2265739","LightingService.exe","6180","RegCloseKey","HKU\.DEFAULT","SUCCESS",""
"01:52:07.2265781","LightingService.exe","6180","RegQueryValue","HKU\.DEFAULT\Software\Microsoft\Windows\CurrentVersion\WinTrust\Trust Providers\Software Publishing\State","SUCCESS","Type: REG_DWORD, Length: 4, Data: 146432"
"01:52:07.2265837","LightingService.exe","6180","RegCloseKey","HKU\.DEFAULT\Software\Microsoft\Windows\CurrentVersion\WinTrust\Trust Providers\Software Publishing","SUCCESS",""
"01:52:07.2265948","LightingService.exe","6180","RegQueryKey","HKU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"01:52:07.2265982","LightingService.exe","6180","RegQueryKey","HKU","SUCCESS","Query: Name"
"01:52:07.2266033","LightingService.exe","6180","RegOpenKey","HKU\S-1-5-18","REPARSE","Desired Access: Maximum Allowed"
"01:52:07.2266076","LightingService.exe","6180","RegOpenKey","HKU\.DEFAULT","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"01:52:07.2266133","LightingService.exe","6180","RegQueryKey","HKU\.DEFAULT","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"01:52:07.2266165","LightingService.exe","6180","RegQueryKey","HKU\.DEFAULT","SUCCESS","Query: Name"
"01:52:07.2266215","LightingService.exe","6180","RegOpenKey","HKU\.DEFAULT\Software\Microsoft\Internet Explorer\Security","NAME NOT FOUND","Desired Access: Read"
"01:52:07.2266323","LightingService.exe","6180","RegCloseKey","HKU\.DEFAULT","SUCCESS",""
"01:52:07.2266384","LightingService.exe","6180","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"01:52:07.2266414","LightingService.exe","6180","RegQueryKey","HKLM","SUCCESS","Query: Name"
"01:52:07.2266473","LightingService.exe","6180","RegOpenKey","HKLM\Software\WOW6432Node\Policies\Microsoft\SystemCertificates\TrustedPublisher\Safer","REPARSE","Desired Access: Read"
"01:52:07.2266530","LightingService.exe","6180","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\SystemCertificates\TrustedPublisher\Safer","NAME NOT FOUND","Desired Access: Read"
"01:52:07.2266657","LightingService.exe","6180","RegQueryKey","HKU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"01:52:07.2266687","LightingService.exe","6180","RegQueryKey","HKU","SUCCESS","Query: Name"
"01:52:07.2266734","LightingService.exe","6180","RegOpenKey","HKU\S-1-5-18","REPARSE","Desired Access: Maximum Allowed"
"01:52:07.2266773","LightingService.exe","6180","RegOpenKey","HKU\.DEFAULT","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"01:52:07.2266831","LightingService.exe","6180","RegQueryKey","HKU\.DEFAULT","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"01:52:07.2266861","LightingService.exe","6180","RegQueryKey","HKU\.DEFAULT","SUCCESS","Query: Name"
"01:52:07.2266911","LightingService.exe","6180","RegOpenKey","HKU\.DEFAULT\Software\Policies\Microsoft\SystemCertificates\TrustedPublisher\Safer","NAME NOT FOUND","Desired Access: Read"
"01:52:07.2266974","LightingService.exe","6180","RegCloseKey","HKU\.DEFAULT","SUCCESS",""
"01:52:07.2267020","LightingService.exe","6180","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"01:52:07.2267082","LightingService.exe","6180","RegQueryKey","HKLM","SUCCESS","Query: Name"
